rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
2011CS16,3,3,CS695,,3/22/2021 11:22,,3/22/2021 11:22,CORE
2011CS17,3,3,CS695,,3/25/2021 10:25,,3/25/2021 10:25,CORE
2011CS18,3,3,CS695,,3/24/2021 9:14,,3/24/2021 9:14,CORE
2011CS21,3,3,CS695,,3/22/2021 17:00,,3/22/2021 17:00,CORE
2011CS22,3,3,CS695,,3/24/2021 22:06,,3/24/2021 22:06,CORE
2011CS23,3,3,CS695,,3/23/2021 0:21,,3/23/2021 0:21,CORE
2011CS25,3,3,CS695,,3/22/2021 20:31,,3/22/2021 20:31,CORE
2011EE01,3,3,EE595,,3/22/2021 22:43,,3/22/2021 22:43,CORE
2011EE02,3,3,EE595,,3/24/2021 22:47,,3/24/2021 22:47,CORE
2011EE03,3,3,EE595,,3/24/2021 14:10,,3/24/2021 14:10,CORE
2011EE04,3,3,EE595,,3/24/2021 9:40,,3/24/2021 9:40,CORE
2011EE05,3,3,EE595,,3/22/2021 13:09,,3/22/2021 13:09,CORE
2011EE06,3,3,EE595,,3/24/2021 20:45,,3/24/2021 20:45,CORE
2011EE07,3,3,EE595,,3/22/2021 18:35,,3/22/2021 18:35,CORE
2011EE08,3,3,EE595,,3/25/2021 15:06,,3/25/2021 15:06,CORE
2001CS79,3,3,CS204,,7/26/2021 8:10,,7/26/2021 8:10,CORE
2001CS78,3,3,MA201,,7/24/2021 19:51,,7/24/2021 19:51,CORE
2001CS78,3,3,HS231,,7/24/2021 19:51,,7/24/2021 19:51,HSS Elective
2001CS78,3,3,CS206,,7/24/2021 19:51,,7/24/2021 19:51,CORE
2001CS78,3,3,CS205,,7/24/2021 19:51,,7/24/2021 19:51,CORE
2001CS78,3,3,CS204,,7/24/2021 19:51,,7/24/2021 19:51,CORE
2001CS69,3,3,MA201,,7/24/2021 13:47,,7/24/2021 13:47,CORE
2001CS69,3,3,HS231,,7/24/2021 13:47,,7/24/2021 13:47,HSS Elective
2001CS69,3,3,CS206,,7/24/2021 13:47,,7/24/2021 13:47,CORE
2001CS69,3,3,CS205,,7/24/2021 13:47,,7/24/2021 13:47,CORE
2001CS69,3,3,CS204,,7/24/2021 13:47,,7/24/2021 13:47,CORE
2001CS67,3,3,MA201,,7/26/2021 14:37,,7/26/2021 14:37,CORE
2001CS67,3,3,HS221,,7/26/2021 14:37,,7/26/2021 14:37,HSS Elective
2001CS67,3,3,CS206,,7/26/2021 14:37,,7/26/2021 14:37,CORE
2001CS67,3,3,CS205,,7/26/2021 14:37,,7/26/2021 14:37,CORE
2001CS67,3,3,CS204,,7/26/2021 14:37,,7/26/2021 14:37,CORE
2001CS64,3,3,MA201,,7/26/2021 12:38,,7/26/2021 12:38,CORE
2001CS64,3,3,HS231,,7/26/2021 12:38,,7/26/2021 12:38,HSS Elective
2001CS64,3,3,CS206,,7/26/2021 12:38,,7/26/2021 12:38,CORE
2001CS64,3,3,CS205,,7/26/2021 12:38,,7/26/2021 12:38,CORE
2001CS64,3,3,CS204,,7/26/2021 12:38,,7/26/2021 12:38,CORE
2001CS52,3,3,MA201,,7/24/2021 10:41,,7/24/2021 10:41,CORE
2001CS52,3,3,HS201,,7/24/2021 10:41,,7/24/2021 10:41,HSS Elective
2001CS52,3,3,CS206,,7/24/2021 10:41,,7/24/2021 10:41,CORE
2001CS52,3,3,CS205,,7/24/2021 10:41,,7/24/2021 10:41,CORE
2001CS52,3,3,CS204,,7/24/2021 10:41,,7/24/2021 10:41,CORE
2001CS50,3,3,MA201,,7/26/2021 12:55,,7/26/2021 12:55,CORE
2001CS50,3,3,HS201,,7/26/2021 12:55,,7/26/2021 12:55,HSS Elective
2001CS50,3,3,CS206,,7/26/2021 12:55,,7/26/2021 12:55,CORE
2001CS50,3,3,CS205,,7/26/2021 12:55,,7/26/2021 12:55,CORE
2001CS50,3,3,CS204,,7/26/2021 12:55,,7/26/2021 12:55,CORE
2001CS49,3,3,MA201,,7/26/2021 15:21,,7/26/2021 15:21,CORE
2001CS49,3,3,HS231,,7/26/2021 15:21,,7/26/2021 15:21,HSS Elective
2001CS49,3,3,CS206,,7/26/2021 15:21,,7/26/2021 15:21,CORE
2001CS49,3,3,CS205,,7/26/2021 15:21,,7/26/2021 15:21,CORE
2001CS49,3,3,CS204,,7/26/2021 15:21,,7/26/2021 15:21,CORE
2001CS42,3,3,MA201,,7/24/2021 8:52,,7/24/2021 8:52,CORE
2001CS42,3,3,HS231,,7/24/2021 8:52,,7/24/2021 8:52,HSS Elective
2001CS42,3,3,CS206,,7/24/2021 8:52,,7/24/2021 8:52,CORE
2001CS42,3,3,CS205,,7/24/2021 8:52,,7/24/2021 8:52,CORE
2001CS42,3,3,CS204,,7/24/2021 8:52,,7/24/2021 8:52,CORE
2001CS41,3,3,MA201,,7/26/2021 14:18,,7/26/2021 14:18,CORE
2001CS41,3,3,HS201,,7/26/2021 14:18,,7/26/2021 14:18,HSS Elective
2001CS41,3,3,CS206,,7/26/2021 14:18,,7/26/2021 14:18,CORE
2001CS41,3,3,CS205,,7/26/2021 14:18,,7/26/2021 14:18,CORE
2001CS41,3,3,CS204,,7/26/2021 14:18,,7/26/2021 14:18,CORE
2001CS39,3,3,MA201,,7/24/2021 13:30,,7/24/2021 13:30,CORE
2001CS39,3,3,HS231,,7/24/2021 13:30,,7/24/2021 13:30,HSS Elective
2001CS39,3,3,CS206,,7/24/2021 13:30,,7/24/2021 13:30,CORE
2001CS39,3,3,CS205,,7/24/2021 13:30,,7/24/2021 13:30,CORE
2001CS39,3,3,CS204,,7/24/2021 13:30,,7/24/2021 13:30,CORE
2001CS38,3,3,MA201,,7/24/2021 13:29,,7/24/2021 13:29,CORE
2001CS38,3,3,HS231,,7/24/2021 13:29,,7/24/2021 13:29,HSS Elective
2001CS38,3,3,CS206,,7/24/2021 13:29,,7/24/2021 13:29,CORE
2001CS38,3,3,CS205,,7/24/2021 13:29,,7/24/2021 13:29,CORE
2001CS38,3,3,CS204,,7/24/2021 13:29,,7/24/2021 13:29,CORE
2001CS37,3,3,MA201,,7/26/2021 12:19,,7/26/2021 12:19,CORE
2001CS37,3,3,HS231,,7/26/2021 12:19,,7/26/2021 12:19,HSS Elective
2001CS37,3,3,CS206,,7/26/2021 12:19,,7/26/2021 12:19,CORE
2001CS37,3,3,CS205,,7/26/2021 12:19,,7/26/2021 12:19,CORE
2001CS37,3,3,CS204,,7/26/2021 12:19,,7/26/2021 12:19,CORE
1801ME14,7,7,ME537,,7/24/2021 13:34,,7/24/2021 13:34,Department Elective - I
1801CE29,7,7,HS531,,7/26/2021 13:56,,7/26/2021 13:56,Open Elective - III
1801ME14,7,7,ME533,,7/24/2021 13:34,,7/24/2021 13:34,Department Elective - II
1801ME14,7,7,ME495,,7/24/2021 13:34,,7/24/2021 13:34,CORE
1801CS50,7,7,HS531,,7/26/2021 15:55,,7/26/2021 15:55,Open Elective
1801ME14,7,7,ME431,,7/24/2021 13:34,,7/24/2021 13:34,CORE
1801ME14,7,7,HS531,,7/24/2021 13:34,,7/24/2021 13:34,Open Elective - III
1801CS50,7,7,CS577,,7/26/2021 15:55,,7/26/2021 15:55,Department Elective - IV
1801CE29,7,7,CE571,,7/26/2021 13:56,,7/26/2021 13:56,Department Elective - III
1801CS50,7,7,CS571,,7/26/2021 15:55,,7/26/2021 15:55,Department Elective - II
2001CS28,3,3,MA201,,7/26/2021 12:10,,7/26/2021 12:10,CORE
2001CS28,3,3,HS201,,7/26/2021 12:10,,7/26/2021 12:10,HSS Elective
2001CS28,3,3,CS206,,7/26/2021 12:10,,7/26/2021 12:10,CORE
2001CS28,3,3,CS205,,7/26/2021 12:10,,7/26/2021 12:10,CORE
2001CS28,3,3,CS204,,7/26/2021 12:10,,7/26/2021 12:10,CORE
1801CS50,7,7,CS555,,7/26/2021 15:55,,7/26/2021 15:55,Department Elective - III
1801CE29,7,7,CE549,,7/26/2021 13:56,,7/26/2021 13:56,Department Elective - I
2001CS24,3,3,MA201,,7/26/2021 12:05,,7/26/2021 12:05,CORE
2001CS24,3,3,HS231,,7/26/2021 12:05,,7/26/2021 12:05,HSS Elective
2001CS24,3,3,CS206,,7/26/2021 12:05,,7/26/2021 12:05,CORE
2001CS24,3,3,CS205,,7/26/2021 12:05,,7/26/2021 12:05,CORE
2001CS24,3,3,CS204,,7/26/2021 12:05,,7/26/2021 12:05,CORE
2001CS20,3,3,MA201,,7/26/2021 12:02,,7/26/2021 12:02,CORE
1801CS50,7,7,CS491,,7/26/2021 15:55,,7/26/2021 15:55,CORE
2001CS20,3,3,HS231,,7/26/2021 12:02,,7/26/2021 12:02,HSS Elective
2001CS20,3,3,CS206,,7/26/2021 12:02,,7/26/2021 12:02,CORE
2001CS20,3,3,CS205,,7/26/2021 12:02,,7/26/2021 12:02,CORE
2001CS20,3,3,CS204,,7/26/2021 12:02,,7/26/2021 12:02,CORE
1801CE29,7,7,CE543,,7/26/2021 13:56,,7/26/2021 13:56,Department Elective - II
2001CS14,3,3,MA201,,7/23/2021 21:46,,7/23/2021 21:46,CORE
2001CS14,3,3,HS201,,7/23/2021 21:46,,7/23/2021 21:46,HSS Elective
2001CS14,3,3,CS206,,7/23/2021 21:46,,7/23/2021 21:46,CORE
2001CS14,3,3,CS205,,7/23/2021 21:46,,7/23/2021 21:46,CORE
2001CS14,3,3,CS204,,7/23/2021 21:46,,7/23/2021 21:46,CORE
2001CS11,3,3,MA201,,7/26/2021 12:41,,7/26/2021 12:41,CORE
2001CS11,3,3,HS231,,7/26/2021 12:41,,7/26/2021 12:41,HSS Elective
2001CS11,3,3,CS206,,7/26/2021 12:41,,7/26/2021 12:41,CORE
2001CS11,3,3,CS205,,7/26/2021 12:41,,7/26/2021 12:41,CORE
2001CS11,3,3,CS204,,7/26/2021 12:41,,7/26/2021 12:41,CORE
1801CE29,7,7,CE495,,7/26/2021 13:56,,7/26/2021 13:56,CORE
2001CS09,3,3,MA201,,7/25/2021 17:59,,7/25/2021 17:59,CORE
2001CS09,3,3,HS201,,7/25/2021 17:59,,7/25/2021 17:59,HSS Elective
2001CS09,3,3,CS206,,7/25/2021 17:59,,7/25/2021 17:59,CORE
2001CS09,3,3,CS205,,7/25/2021 17:59,,7/25/2021 17:59,CORE
2001CS09,3,3,CS204,,7/25/2021 17:59,,7/25/2021 17:59,CORE
2001CS07,3,3,MA201,,7/24/2021 16:15,,7/24/2021 16:15,CORE
2001CS07,3,3,HS231,,7/24/2021 16:15,,7/24/2021 16:15,HSS Elective
2001CS07,3,3,CS206,,7/24/2021 16:15,,7/24/2021 16:15,CORE
2001CS07,3,3,CS205,,7/24/2021 16:15,,7/24/2021 16:15,CORE
2001CS07,3,3,CS204,,7/24/2021 16:15,,7/24/2021 16:15,CORE
1801CE29,7,7,CE491,,7/26/2021 13:56,,7/26/2021 13:56,CORE
2001CS04,3,3,MA201,,7/26/2021 12:09,,7/26/2021 12:09,CORE
2001CS04,3,3,HS231,,7/26/2021 12:09,,7/26/2021 12:09,HSS Elective
2001CS04,3,3,CS206,,7/26/2021 12:09,,7/26/2021 12:09,CORE
2001CS04,3,3,CS205,,7/26/2021 12:09,,7/26/2021 12:09,CORE
2001CS04,3,3,CS204,,7/26/2021 12:09,,7/26/2021 12:09,CORE
1801CE28,7,7,PH401,,7/23/2021 19:42,,7/23/2021 19:42,Open Elective - III
1901CS27,5,5,PH301,,7/26/2021 14:59,,7/26/2021 14:59,Open Elective
2001CE64,3,3,MA201,,7/25/2021 20:09,,7/25/2021 20:09,CORE
2001CE64,3,3,HS231,,7/25/2021 20:09,,7/25/2021 20:09,HSS Elective - I
